experiment,n,factor,repeat,seconds,capacity
growth,1000,2.0,1,0.0009625999955460429,1023
growth,1000,2.0,2,0.0009226000111084431,1023
growth,1000,2.0,3,0.0009064000041689724,1023
growth,1000,2.0,4,0.0008685999928275123,1023
growth,1000,2.0,5,0.0009717999928398058,1023
growth,1000,1.5,1,0.0012678999919444323,1064
growth,1000,1.5,2,0.0016516000032424927,1064
growth,1000,1.5,3,0.0013406000070972368,1064
growth,1000,1.5,4,0.0014933999918866903,1064
growth,1000,1.5,5,0.0012483999889809638,1064
growth,5000,2.0,1,0.005306899998686276,8191
growth,5000,2.0,2,0.004945900000166148,8191
growth,5000,2.0,3,0.004961999991792254,8191
growth,5000,2.0,4,0.004789800004800782,8191
growth,5000,2.0,5,0.004837200001929887,8191
growth,5000,1.5,1,0.005691099999239668,5393
growth,5000,1.5,2,0.005800999992061406,5393
growth,5000,1.5,3,0.005925999997998588,5393
growth,5000,1.5,4,0.005982400005450472,5393
growth,5000,1.5,5,0.00567760001285933,5393
growth,10000,2.0,1,0.010134299998753704,16383
growth,10000,2.0,2,0.009655499990913086,16383
growth,10000,2.0,3,0.009778900013770908,16383
growth,10000,2.0,4,0.00977039999270346,16383
growth,10000,2.0,5,0.009723200011649169,16383
growth,10000,1.5,1,0.012903700000606477,12136
growth,10000,1.5,2,0.01339969999389723,12136
growth,10000,1.5,3,0.012182899998151697,12136
growth,10000,1.5,4,0.012330400000791997,12136
growth,10000,1.5,5,0.012776899995515123,12136
growth,50000,2.0,1,0.05049229999713134,65535
growth,50000,2.0,2,0.04807980000623502,65535
growth,50000,2.0,3,0.048346800002036616,65535
growth,50000,2.0,4,0.04868200000782963,65535
growth,50000,2.0,5,0.048509000000194646,65535
growth,50000,1.5,1,0.06681570000364445,61445
growth,50000,1.5,2,0.06777920000604354,61445
growth,50000,1.5,3,0.06673920000321232,61445
growth,50000,1.5,4,0.06844180000189226,61445
growth,50000,1.5,5,0.06662080000387505,61445
growth,100000,2.0,1,0.10196049998921808,131071
growth,100000,2.0,2,0.10365360000287183,131071
growth,100000,2.0,3,0.09979740000562742,131071
growth,100000,2.0,4,0.10102539999934379,131071
growth,100000,2.0,5,0.10210750000260305,131071
growth,100000,1.5,1,0.20373960000870284,138253
growth,100000,1.5,2,0.1603742000006605,138253
growth,100000,1.5,3,0.16126320000330452,138253
growth,100000,1.5,4,0.15676659999007825,138253
growth,100000,1.5,5,0.15984110000135843,138253
