n,method,repeat,seconds_per_search
1000,linear,1,5.911600004765205e-05
1000,linear,2,5.8172999997623266e-05
1000,linear,3,6.159600001410581e-05
1000,linear,4,5.8250000001862645e-05
1000,linear,5,5.817500001285225e-05
1000,binary,1,1.5490000077988953e-06
1000,binary,2,1.5340000391006469e-06
1000,binary,3,1.5739999071229249e-06
1000,binary,4,1.6479998885188252e-06
1000,binary,5,1.8279999494552612e-06
5000,linear,1,0.00030909900000551714
5000,linear,2,0.00031529600004432724
5000,linear,3,0.00030776100000366567
5000,linear,4,0.0003026729999692179
5000,linear,5,0.0003047339999466203
5000,binary,1,2.3380000493489208e-06
5000,binary,2,1.9520000205375256e-06
5000,binary,3,2.4979999579954892e-06
5000,binary,4,2.2519999765791e-06
5000,binary,5,1.9630001042969524e-06
10000,linear,1,0.0006235320000268985
10000,linear,2,0.0006273750000400469
10000,linear,3,0.0006391060000169091
10000,linear,4,0.000615440999972634
10000,linear,5,0.0006148669999674894
10000,binary,1,2.761000068858266e-06
10000,binary,2,2.0910000603180378e-06
10000,binary,3,2.297000028192997e-06
10000,binary,4,3.6299999919719996e-06
10000,binary,5,2.2899999748915435e-06
50000,linear,1,0.003158582000032766
50000,linear,2,0.0031266410001262557
50000,linear,3,0.0031635959999402985
50000,linear,4,0.003132271999929799
50000,linear,5,0.003114231999934418
50000,binary,1,2.525000018067658e-06
50000,binary,2,2.398999931756407e-06
50000,binary,3,2.3429999419022353e-06
50000,binary,4,2.597999991849065e-06
50000,binary,5,2.375000040046871e-06
100000,linear,1,0.006326403999992181
100000,linear,2,0.0062872849999985195
100000,linear,3,0.0063346820000151636
100000,linear,4,0.006547559000027832
100000,linear,5,0.006354298000078415
100000,binary,1,2.6000000070780518e-06
100000,binary,2,2.6769998657982796e-06
100000,binary,3,2.7019999106414615e-06
100000,binary,4,2.573999954620376e-06
100000,binary,5,2.55000006291084e-06
